Image_number,URL,PMID,Pathophysiological_Process,Anatomy,Cell,Subject,Predicate,Object,Source,Normalized_Input,Category
image_47,https://www.frontiersin.org/files/Articles/583459/fneur-11-583459-HTML/image_m/fneur-11-583459-g001.jpg,33304309,Missing,Blood-Brain Barrier,neuron; astrocyte; microglial cell,SARS-CoV-2 S binding to ACE2,increases,brain disease,CBM,sars cov 2 s binding to ace2 brain disease,Systemic Cross-Organ Effects
image_47,https://www.frontiersin.org/files/Articles/583459/fneur-11-583459-HTML/image_m/fneur-11-583459-g001.jpg,33304309,Missing,Blood-Brain Barrier,neuron; astrocyte; microglial cell,SARS-CoV-2 S binding to ACE2,increases,encephalitis,CBM,sars cov 2 s binding to ace2 encephalitis,Systemic Cross-Organ Effects
image_47,https://www.frontiersin.org/files/Articles/583459/fneur-11-583459-HTML/image_m/fneur-11-583459-g001.jpg,33304309,Missing,Blood-Brain Barrier,neuron; astrocyte; microglial cell,SARS-CoV-2 S binding to ACE2,increases,cerebrovascular disease,CBM,sars cov 2 s binding to ace2 cerebrovascular disease,Systemic Cross-Organ Effects
image_48,https://europepmc.org/articles/PMC9453010/bin/OMCL2022-3012778.004.jpg,36092161,Missing,Brain,Missing,lockdown psychosocial stress,increases,glial cell activation,CBM,lockdown psychosocial stress glial cell activation,Psychological and Neurological Symptoms
image_48,https://europepmc.org/articles/PMC9453010/bin/OMCL2022-3012778.004.jpg,36092161,Missing,Brain,Missing,glial cell activation,positiveCorrelation,depressive disorder,CBM,glial cell activation depressive disorder,Psychological and Neurological Symptoms
image_48,https://europepmc.org/articles/PMC9453010/bin/OMCL2022-3012778.004.jpg,36092161,Missing,Brain,Missing,glial cell activation,positiveCorrelation,bipolar disorder,CBM,glial cell activation bipolar disorder,Psychological and Neurological Symptoms
image_48,https://europepmc.org/articles/PMC9453010/bin/OMCL2022-3012778.004.jpg,36092161,Missing,Brain,Missing,glial cell activation,positiveCorrelation,post-traumatic stress disorder,CBM,glial cell activation post traumatic stress disorder,Psychological and Neurological Symptoms
image_48,https://europepmc.org/articles/PMC9453010/bin/OMCL2022-3012778.004.jpg,36092161,Missing,Brain,Missing,glial cell activation,positiveCorrelation,psychosis,CBM,glial cell activation psychosis,Psychological and Neurological Symptoms
image_48,https://europepmc.org/articles/PMC9453010/bin/OMCL2022-3012778.004.jpg,36092161,Missing,Brain,Missing,glial cell activation,positiveCorrelation,obsessive-compulsive disorder,CBM,glial cell activation obsessive compulsive disorder,Psychological and Neurological Symptoms
image_48,https://europepmc.org/articles/PMC9453010/bin/OMCL2022-3012778.004.jpg,36092161,Missing,Brain,Missing,glial cell activation,positiveCorrelation,epilepsy,CBM,glial cell activation epilepsy,Viral Entry and Neuroinvasion
image_48,https://europepmc.org/articles/PMC9453010/bin/OMCL2022-3012778.004.jpg,36092161,Missing,Brain,Missing,glial cell activation,positiveCorrelation,Alzheimer's disease,CBM,glial cell activation alzheimer's disease,Psychological and Neurological Symptoms
image_48,https://europepmc.org/articles/PMC9453010/bin/OMCL2022-3012778.004.jpg,36092161,Missing,Circumventricular Organs,Missing,COVID-19,increases,glial cell activation,CBM,covid 19 glial cell activation,Systemic Cross-Organ Effects
image_48,https://europepmc.org/articles/PMC9453010/bin/OMCL2022-3012778.004.jpg,36092161,cytokine production involved in inflammatory response,Hypothalamo-Hypophyseal Axis,Missing,depressive disorder,positiveCorrelation,IL6,CBM,depressive disorder il6,Psychological and Neurological Symptoms
image_48,https://europepmc.org/articles/PMC9453010/bin/OMCL2022-3012778.004.jpg,36092161,cytokine production involved in inflammatory response,Hypothalamo-Hypophyseal Axis,Missing,bipolar disorder,positiveCorrelation,IL6,CBM,bipolar disorder il6,Viral Entry and Neuroinvasion
image_48,https://europepmc.org/articles/PMC9453010/bin/OMCL2022-3012778.004.jpg,36092161,cytokine production involved in inflammatory response,Hypothalamo-Hypophyseal Axis,Missing,post-traumatic stress disorder,positiveCorrelation,IL6,CBM,post traumatic stress disorder il6,Immune and Inflammatory Response
image_48,https://europepmc.org/articles/PMC9453010/bin/OMCL2022-3012778.004.jpg,36092161,cytokine production involved in inflammatory response,Hypothalamo-Hypophyseal Axis,Missing,psychosis,positiveCorrelation,IL6,CBM,psychosis il6,Psychological and Neurological Symptoms
image_48,https://europepmc.org/articles/PMC9453010/bin/OMCL2022-3012778.004.jpg,36092161,cytokine production involved in inflammatory response,Hypothalamo-Hypophyseal Axis,Missing,obsessive-compulsive disorder,positiveCorrelation,IL6,CBM,obsessive compulsive disorder il6,Immune and Inflammatory Response
image_48,https://europepmc.org/articles/PMC9453010/bin/OMCL2022-3012778.004.jpg,36092161,cytokine production involved in inflammatory response,Hypothalamo-Hypophyseal Axis,Missing,epilepsy,positiveCorrelation,IL6,CBM,epilepsy il6,Viral Entry and Neuroinvasion
image_48,https://europepmc.org/articles/PMC9453010/bin/OMCL2022-3012778.004.jpg,36092161,cytokine production involved in inflammatory response,Hypothalamo-Hypophyseal Axis,Missing,Alzheimer's disease,positiveCorrelation,IL6,CBM,alzheimer's disease il6,Viral Entry and Neuroinvasion
image_48,https://europepmc.org/articles/PMC9453010/bin/OMCL2022-3012778.004.jpg,36092161,Missing,Missing,Missing,depressive disorder,positiveCorrelation,TNF,CBM,depressive disorder tnf,Psychological and Neurological Symptoms
image_48,https://europepmc.org/articles/PMC9453010/bin/OMCL2022-3012778.004.jpg,36092161,Missing,Missing,Missing,bipolar disorder,positiveCorrelation,TNF,CBM,bipolar disorder tnf,Psychological and Neurological Symptoms
image_48,https://europepmc.org/articles/PMC9453010/bin/OMCL2022-3012778.004.jpg,36092161,Missing,Missing,Missing,post-traumatic stress disorder,positiveCorrelation,TNF,CBM,post traumatic stress disorder tnf,Psychological and Neurological Symptoms
image_48,https://europepmc.org/articles/PMC9453010/bin/OMCL2022-3012778.004.jpg,36092161,Missing,Missing,Missing,psychosis,positiveCorrelation,TNF,CBM,psychosis tnf,Psychological and Neurological Symptoms
image_48,https://europepmc.org/articles/PMC9453010/bin/OMCL2022-3012778.004.jpg,36092161,Missing,Missing,Missing,obsessive-compulsive disorder,positiveCorrelation,TNF,CBM,obsessive compulsive disorder tnf,Immune and Inflammatory Response
image_48,https://europepmc.org/articles/PMC9453010/bin/OMCL2022-3012778.004.jpg,36092161,Missing,Missing,Missing,epilepsy,positiveCorrelation,TNF,CBM,epilepsy tnf,Viral Entry and Neuroinvasion
image_48,https://europepmc.org/articles/PMC9453010/bin/OMCL2022-3012778.004.jpg,36092161,Missing,Missing,Missing,Alzheimer's disease,positiveCorrelation,TNF,CBM,alzheimer's disease tnf,Psychological and Neurological Symptoms
image_48,https://europepmc.org/articles/PMC9453010/bin/OMCL2022-3012778.004.jpg,36092161,Missing,Missing,Missing,depressive disorder,increases,IL1B,CBM,depressive disorder il1b,Psychological and Neurological Symptoms
image_48,https://europepmc.org/articles/PMC9453010/bin/OMCL2022-3012778.004.jpg,36092161,Missing,Missing,Missing,bipolar disorder,increases,IL1B,CBM,bipolar disorder il1b,Psychological and Neurological Symptoms
image_48,https://europepmc.org/articles/PMC9453010/bin/OMCL2022-3012778.004.jpg,36092161,Missing,Missing,Missing,post-traumatic stress disorder,increases,IL1B,CBM,post traumatic stress disorder il1b,Viral Entry and Neuroinvasion
image_48,https://europepmc.org/articles/PMC9453010/bin/OMCL2022-3012778.004.jpg,36092161,Missing,Missing,Missing,psychosis,increases,IL1B,CBM,psychosis il1b,Psychological and Neurological Symptoms
image_48,https://europepmc.org/articles/PMC9453010/bin/OMCL2022-3012778.004.jpg,36092161,Missing,Missing,Missing,obsessive-compulsive disorder,increases,IL1B,CBM,obsessive compulsive disorder il1b,Psychological and Neurological Symptoms
image_48,https://europepmc.org/articles/PMC9453010/bin/OMCL2022-3012778.004.jpg,36092161,Missing,Missing,Missing,epilepsy,increases,IL1B,CBM,epilepsy il1b,Viral Entry and Neuroinvasion
image_48,https://europepmc.org/articles/PMC9453010/bin/OMCL2022-3012778.004.jpg,36092161,Missing,Missing,Missing,Alzheimer's disease,increases,IL1B,CBM,alzheimer's disease il1b,Psychological and Neurological Symptoms
image_48,https://europepmc.org/articles/PMC9453010/bin/OMCL2022-3012778.004.jpg,36092161,Missing,Lungs,Missing,COVID-19,increases,peripheral inflammation,CBM,covid 19 peripheral inflammation,Systemic Cross-Organ Effects
image_48,https://europepmc.org/articles/PMC9453010/bin/OMCL2022-3012778.004.jpg,36092161,Missing,Lungs,Missing,peripheral inflammation,increases,glial cell activation,CBM,peripheral inflammation glial cell activation,Immune and Inflammatory Response
image_49,https://www.mdpi.com/pharmaceuticals/pharmaceuticals-17-00788/article_deploy/html/images/pharmaceuticals-17-00788-g001.png,38931455,SARS-CoV2 mediated Alzheimer's disease,Respiratory Mucosa,Missing,COVID-19,increases,Cytokine storm,CBM,covid 19 cytokine storm,Immune and Inflammatory Response
image_49,https://www.mdpi.com/pharmaceuticals/pharmaceuticals-17-00788/article_deploy/html/images/pharmaceuticals-17-00788-g001.png,38931455,SARS-CoV2 mediated Alzheimer's disease,Respiratory Mucosa,Missing,Cytokine storm,increases,inflammatory response,CBM,cytokine storm inflammatory response,Immune and Inflammatory Response
image_49,https://www.mdpi.com/pharmaceuticals/pharmaceuticals-17-00788/article_deploy/html/images/pharmaceuticals-17-00788-g001.png,38931455,SARS-CoV2 mediated Alzheimer's disease,Respiratory Mucosa,Missing,inflammatory response,increases,impaired blood-brain barrier function,CBM,inflammatory response impaired blood brain barrier function,Viral Entry and Neuroinvasion
image_49,https://www.mdpi.com/pharmaceuticals/pharmaceuticals-17-00788/article_deploy/html/images/pharmaceuticals-17-00788-g001.png,38931455,SARS-CoV2 mediated Alzheimer's disease,Respiratory Mucosa,Missing,SARS-CoV-2 S binding to ACE2,increases,symbiont entry into host cell,CBM,sars cov 2 s binding to ace2 symbiont entry into host cell,Systemic Cross-Organ Effects
image_49,https://www.mdpi.com/pharmaceuticals/pharmaceuticals-17-00788/article_deploy/html/images/pharmaceuticals-17-00788-g001.png,38931455,Missing,Extracellular Space,Missing,SARS-CoV-2 S binding to amyloid-beta,increases,amyloid fibril,CBM,sars cov 2 s binding to amyloid beta amyloid fibril,Neurodegenerative Mechanisms
image_49,https://www.mdpi.com/pharmaceuticals/pharmaceuticals-17-00788/article_deploy/html/images/pharmaceuticals-17-00788-g001.png,38931455,Missing,Intracellular Space,Missing,symbiont entry into host cell,increases,viral translation,CBM,symbiont entry into host cell viral translation,Viral Entry and Neuroinvasion
image_49,https://www.mdpi.com/pharmaceuticals/pharmaceuticals-17-00788/article_deploy/html/images/pharmaceuticals-17-00788-g001.png,38931455,Missing,Intracellular Space,Missing,viral translation,increases,Viral Structural Proteins,CBM,viral translation viral structural proteins,Viral Entry and Neuroinvasion
image_49,https://www.mdpi.com/pharmaceuticals/pharmaceuticals-17-00788/article_deploy/html/images/pharmaceuticals-17-00788-g001.png,38931455,Missing,Intracellular Space,Missing,viral translation,increases,Viral Regulatory and Accessory Proteins,CBM,viral translation viral regulatory and accessory proteins,Viral Entry and Neuroinvasion
image_49,https://www.mdpi.com/pharmaceuticals/pharmaceuticals-17-00788/article_deploy/html/images/pharmaceuticals-17-00788-g001.png,38931455,Missing,Intracellular Space,Missing,Viral Structural Proteins,increases,amyloid fibril,CBM,viral structural proteins amyloid fibril,Neurodegenerative Mechanisms
image_49,https://www.mdpi.com/pharmaceuticals/pharmaceuticals-17-00788/article_deploy/html/images/pharmaceuticals-17-00788-g001.png,38931455,Missing,Intracellular Space,Missing,Viral Regulatory and Accessory Proteins,increases,amyloid fibril,CBM,viral regulatory and accessory proteins amyloid fibril,Neurodegenerative Mechanisms
image_49,https://www.mdpi.com/pharmaceuticals/pharmaceuticals-17-00788/article_deploy/html/images/pharmaceuticals-17-00788-g001.png,38931455,Missing,Intracellular Space,Missing,COVID-19,increases,Alzheimer's disease,CBM,covid 19 alzheimer's disease,Psychological and Neurological Symptoms
image_50,https://content.iospress.com/media/jad/2023/96-4/jad-96-4-jad230396/jad-96-jad230396-g003.jpg,38007649,Alzheimer's disease,Missing,Missing,inflammation,increases,TNF,CBM,inflammation tnf,Immune and Inflammatory Response
image_50,https://content.iospress.com/media/jad/2023/96-4/jad-96-4-jad230396/jad-96-jad230396-g003.jpg,38007649,Alzheimer's disease,Missing,Missing,inflammation,increases,IL1B,CBM,inflammation il1b,Viral Entry and Neuroinvasion
image_50,https://content.iospress.com/media/jad/2023/96-4/jad-96-4-jad230396/jad-96-jad230396-g003.jpg,38007649,Alzheimer's disease,Missing,Missing,inflammation,increases,IL6,CBM,inflammation il6,Immune and Inflammatory Response
image_50,https://content.iospress.com/media/jad/2023/96-4/jad-96-4-jad230396/jad-96-jad230396-g003.jpg,38007649,Alzheimer's disease,Missing,Missing,inflammation,increases,TREM2,CBM,inflammation trem2,Viral Entry and Neuroinvasion
image_50,https://content.iospress.com/media/jad/2023/96-4/jad-96-4-jad230396/jad-96-jad230396-g003.jpg,38007649,Alzheimer's disease,Missing,Missing,inflammation,increases,CD33,CBM,inflammation cd33,Viral Entry and Neuroinvasion
image_50,https://content.iospress.com/media/jad/2023/96-4/jad-96-4-jad230396/jad-96-jad230396-g003.jpg,38007649,Alzheimer's disease,Missing,Missing,Alzheimer's disease,increases,NLRP3 inflammasome complex,CBM,alzheimer's disease nlrp3 inflammasome complex,Immune and Inflammatory Response
image_50,https://content.iospress.com/media/jad/2023/96-4/jad-96-4-jad230396/jad-96-jad230396-g003.jpg,38007649,Alzheimer's disease,Missing,Missing,Alzheimer's disease,positiveCorrelation,TNF,CBM,alzheimer's disease tnf,Psychological and Neurological Symptoms
image_50,https://content.iospress.com/media/jad/2023/96-4/jad-96-4-jad230396/jad-96-jad230396-g003.jpg,38007649,Alzheimer's disease,Missing,Missing,Alzheimer's disease,positiveCorrelation,IL1B,CBM,alzheimer's disease il1b,Psychological and Neurological Symptoms
image_50,https://content.iospress.com/media/jad/2023/96-4/jad-96-4-jad230396/jad-96-jad230396-g003.jpg,38007649,Alzheimer's disease,Missing,Missing,Alzheimer's disease,positiveCorrelation,IL6,CBM,alzheimer's disease il6,Viral Entry and Neuroinvasion
image_50,https://content.iospress.com/media/jad/2023/96-4/jad-96-4-jad230396/jad-96-jad230396-g003.jpg,38007649,Alzheimer's disease,Missing,Missing,Alzheimer's disease,increases,inflammation,CBM,alzheimer's disease inflammation,Psychological and Neurological Symptoms
image_50,https://content.iospress.com/media/jad/2023/96-4/jad-96-4-jad230396/jad-96-jad230396-g003.jpg,38007649,COVID-19,Missing,Missing,COVID-19,increases,NLRP3 inflammasome complex,CBM,covid 19 nlrp3 inflammasome complex,Systemic Cross-Organ Effects
image_50,https://content.iospress.com/media/jad/2023/96-4/jad-96-4-jad230396/jad-96-jad230396-g003.jpg,38007649,COVID-19,Missing,Missing,COVID-19,positiveCorrelation,TNF,CBM,covid 19 tnf,Systemic Cross-Organ Effects
image_50,https://content.iospress.com/media/jad/2023/96-4/jad-96-4-jad230396/jad-96-jad230396-g003.jpg,38007649,COVID-19,Missing,Missing,COVID-19,positiveCorrelation,IL1B,CBM,covid 19 il1b,Systemic Cross-Organ Effects
image_50,https://content.iospress.com/media/jad/2023/96-4/jad-96-4-jad230396/jad-96-jad230396-g003.jpg,38007649,COVID-19,Missing,Missing,COVID-19,positiveCorrelation,IL6,CBM,covid 19 il6,Systemic Cross-Organ Effects
image_50,https://content.iospress.com/media/jad/2023/96-4/jad-96-4-jad230396/jad-96-jad230396-g003.jpg,38007649,COVID-19,Missing,Missing,inflammation,increases,TREM2,CBM,inflammation trem2,Viral Entry and Neuroinvasion
image_50,https://content.iospress.com/media/jad/2023/96-4/jad-96-4-jad230396/jad-96-jad230396-g003.jpg,38007649,COVID-19,Missing,Missing,inflammation,increases,CD33,CBM,inflammation cd33,Viral Entry and Neuroinvasion
image_50,https://content.iospress.com/media/jad/2023/96-4/jad-96-4-jad230396/jad-96-jad230396-g003.jpg,38007649,COVID-19,Missing,Missing,COVID-19,increases,Cytokine storm,CBM,covid 19 cytokine storm,Immune and Inflammatory Response
image_50,https://content.iospress.com/media/jad/2023/96-4/jad-96-4-jad230396/jad-96-jad230396-g003.jpg,38007649,COVID-19,Missing,Missing,Cytokine storm,increases,TREM2,CBM,cytokine storm trem2,Immune and Inflammatory Response
image_50,https://content.iospress.com/media/jad/2023/96-4/jad-96-4-jad230396/jad-96-jad230396-g003.jpg,38007649,COVID-19,Missing,Missing,Cytokine storm,increases,CD33,CBM,cytokine storm cd33,Immune and Inflammatory Response
image_50,https://content.iospress.com/media/jad/2023/96-4/jad-96-4-jad230396/jad-96-jad230396-g003.jpg,38007649,Missing,Missing,Missing,TNF,positiveCorrelation,Alzheimer's disease,CBM,tnf alzheimer's disease,Psychological and Neurological Symptoms
image_50,https://content.iospress.com/media/jad/2023/96-4/jad-96-4-jad230396/jad-96-jad230396-g003.jpg,38007649,Missing,Missing,Missing,IL1B,positiveCorrelation,Alzheimer's disease,CBM,il1b alzheimer's disease,Viral Entry and Neuroinvasion
image_50,https://content.iospress.com/media/jad/2023/96-4/jad-96-4-jad230396/jad-96-jad230396-g003.jpg,38007649,Missing,Missing,Missing,IL6,positiveCorrelation,Alzheimer's disease,CBM,il6 alzheimer's disease,Viral Entry and Neuroinvasion
image_50,https://content.iospress.com/media/jad/2023/96-4/jad-96-4-jad230396/jad-96-jad230396-g003.jpg,38007649,Missing,Missing,Missing,TNF,positiveCorrelation,tauopathy,CBM,tnf tauopathy,Neurodegenerative Mechanisms
image_50,https://content.iospress.com/media/jad/2023/96-4/jad-96-4-jad230396/jad-96-jad230396-g003.jpg,38007649,Missing,Missing,Missing,IL1B,positiveCorrelation,tauopathy,CBM,il1b tauopathy,Neurodegenerative Mechanisms
image_50,https://content.iospress.com/media/jad/2023/96-4/jad-96-4-jad230396/jad-96-jad230396-g003.jpg,38007649,Missing,Missing,Missing,IL6,positiveCorrelation,tauopathy,CBM,il6 tauopathy,Neurodegenerative Mechanisms
image_51,https://www.frontiersin.org/files/Articles/977039/fncel-16-977039-HTML/image_m/fncel-16-977039-g002.jpg,36187294,COVID-19,Brain,Missing,angiotensin II binding to ATR2,increases,negative regulation of neuron apoptotic process,CBM,angiotensin ii binding to atr2 negative regulation of neuron apoptotic process,Viral Entry and Neuroinvasion
image_51,https://www.frontiersin.org/files/Articles/977039/fncel-16-977039-HTML/image_m/fncel-16-977039-g002.jpg,36187294,Missing,Missing,Missing,COVID-19,infects,Endothelium,CBM,covid 19 endothelium,Systemic Cross-Organ Effects
image_51,https://www.frontiersin.org/files/Articles/977039/fncel-16-977039-HTML/image_m/fncel-16-977039-g002.jpg,36187294,Missing,Missing,Missing,endothelial infection,increases,vasoconstriction,CBM,endothelial infection vasoconstriction,Immune and Inflammatory Response
image_51,https://www.frontiersin.org/files/Articles/977039/fncel-16-977039-HTML/image_m/fncel-16-977039-g002.jpg,36187294,Missing,Missing,Missing,endothelial infection,increases,Oxidative Stress,CBM,endothelial infection oxidative stress,Neurodegenerative Mechanisms
image_51,https://www.frontiersin.org/files/Articles/977039/fncel-16-977039-HTML/image_m/fncel-16-977039-g002.jpg,36187294,Missing,Missing,Missing,endothelial infection,increases,inflammatory response,CBM,endothelial infection inflammatory response,Vascular Effects
image_51,https://www.frontiersin.org/files/Articles/977039/fncel-16-977039-HTML/image_m/fncel-16-977039-g002.jpg,36187294,Missing,Missing,Missing,COVID-19,increases,angiotensin II binding to ATR1,CBM,covid 19 angiotensin ii binding to atr1,Viral Entry and Neuroinvasion
image_51,https://www.frontiersin.org/files/Articles/977039/fncel-16-977039-HTML/image_m/fncel-16-977039-g002.jpg,36187294,Missing,Missing,Missing,angiotensin II binding to ATR1,increases,vasoconstriction,CBM,angiotensin ii binding to atr1 vasoconstriction,Viral Entry and Neuroinvasion
image_51,https://www.frontiersin.org/files/Articles/977039/fncel-16-977039-HTML/image_m/fncel-16-977039-g002.jpg,36187294,Missing,Missing,Missing,angiotensin II binding to ATR1,increases,Oxidative Stress,CBM,angiotensin ii binding to atr1 oxidative stress,Viral Entry and Neuroinvasion
image_51,https://www.frontiersin.org/files/Articles/977039/fncel-16-977039-HTML/image_m/fncel-16-977039-g002.jpg,36187294,Missing,Missing,Missing,angiotensin II binding to ATR1,increases,inflammatory response,CBM,angiotensin ii binding to atr1 inflammatory response,Viral Entry and Neuroinvasion
image_51,https://www.frontiersin.org/files/Articles/977039/fncel-16-977039-HTML/image_m/fncel-16-977039-g002.jpg,36187294,Missing,chemosensory organ,Missing,COVID-19,regulates,FLRT3,CBM,covid 19 flrt3,Systemic Cross-Organ Effects
image_51,https://www.frontiersin.org/files/Articles/977039/fncel-16-977039-HTML/image_m/fncel-16-977039-g002.jpg,36187294,Missing,chemosensory organ,Missing,COVID-19,regulates,DBN1,CBM,covid 19 dbn1,Systemic Cross-Organ Effects
image_51,https://www.frontiersin.org/files/Articles/977039/fncel-16-977039-HTML/image_m/fncel-16-977039-g002.jpg,36187294,Missing,chemosensory organ,Missing,COVID-19,regulates,TAS2R31,CBM,covid 19 tas2r31,Systemic Cross-Organ Effects
image_51,https://www.frontiersin.org/files/Articles/977039/fncel-16-977039-HTML/image_m/fncel-16-977039-g002.jpg,36187294,Missing,chemosensory organ,Missing,COVID-19,regulates,YYK,CBM,covid 19 yyk,Systemic Cross-Organ Effects
image_51,https://www.frontiersin.org/files/Articles/977039/fncel-16-977039-HTML/image_m/fncel-16-977039-g002.jpg,36187294,Missing,chemosensory organ,Missing,COVID-19,regulates,CNR1,CBM,covid 19 cnr1,Systemic Cross-Organ Effects
image_51,https://www.frontiersin.org/files/Articles/977039/fncel-16-977039-HTML/image_m/fncel-16-977039-g002.jpg,36187294,Missing,chemosensory organ,Missing,FLRT3,increases,sensory perception of chemical stimulus,CBM,flrt3 sensory perception of chemical stimulus,Viral Entry and Neuroinvasion
image_51,https://www.frontiersin.org/files/Articles/977039/fncel-16-977039-HTML/image_m/fncel-16-977039-g002.jpg,36187294,Missing,chemosensory organ,Missing,DBN1,increases,sensory perception of chemical stimulus,CBM,dbn1 sensory perception of chemical stimulus,Viral Entry and Neuroinvasion
image_51,https://www.frontiersin.org/files/Articles/977039/fncel-16-977039-HTML/image_m/fncel-16-977039-g002.jpg,36187294,Missing,chemosensory organ,Missing,TAS2R31,increases,sensory perception of chemical stimulus,CBM,tas2r31 sensory perception of chemical stimulus,Viral Entry and Neuroinvasion
image_51,https://www.frontiersin.org/files/Articles/977039/fncel-16-977039-HTML/image_m/fncel-16-977039-g002.jpg,36187294,Missing,chemosensory organ,Missing,YYK,increases,sensory perception of chemical stimulus,CBM,yyk sensory perception of chemical stimulus,Viral Entry and Neuroinvasion
image_51,https://www.frontiersin.org/files/Articles/977039/fncel-16-977039-HTML/image_m/fncel-16-977039-g002.jpg,36187294,Missing,chemosensory organ,Missing,CNR1,increases,sensory perception of chemical stimulus,CBM,cnr1 sensory perception of chemical stimulus,Viral Entry and Neuroinvasion
image_51,https://www.frontiersin.org/files/Articles/977039/fncel-16-977039-HTML/image_m/fncel-16-977039-g002.jpg,36187294,Missing,Muscles,Missing,COVID-19,increases,angiotensin II,CBM,covid 19 angiotensin ii,Viral Entry and Neuroinvasion
image_51,https://www.frontiersin.org/files/Articles/977039/fncel-16-977039-HTML/image_m/fncel-16-977039-g002.jpg,36187294,Missing,Muscles,Missing,angiotensin II,increases,protein catabolic process,CBM,angiotensin ii protein catabolic process,Viral Entry and Neuroinvasion
image_51,https://www.frontiersin.org/files/Articles/977039/fncel-16-977039-HTML/image_m/fncel-16-977039-g002.jpg,36187294,Missing,Muscles,Missing,angiotensin II,increases,apoptotic process,CBM,angiotensin ii apoptotic process,Viral Entry and Neuroinvasion
image_51,https://www.frontiersin.org/files/Articles/977039/fncel-16-977039-HTML/image_m/fncel-16-977039-g002.jpg,36187294,Missing,Muscles,Missing,angiotensin II,decreases,muscle cell proliferation,CBM,angiotensin ii muscle cell proliferation,Viral Entry and Neuroinvasion
image_52,https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g002.png,39133434,COVID-19,Missing,Missing,COVID-19,increases,increased acute inflammation,CBM,covid 19 increased acute inflammation,Systemic Cross-Organ Effects
image_52,https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g002.png,39133434,COVID-19,Missing,Missing,increased acute inflammation,increases,systemic inflammation,CBM,increased acute inflammation systemic inflammation,Immune and Inflammatory Response
image_52,https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g002.png,39133434,COVID-19,Missing,Missing,increased acute inflammation,increases,IFNL1,CBM,increased acute inflammation ifnl1,Immune and Inflammatory Response
image_52,https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g002.png,39133434,COVID-19,Missing,Missing,increased acute inflammation,increases,IL6,CBM,increased acute inflammation il6,Immune and Inflammatory Response
image_52,https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g002.png,39133434,COVID-19,Missing,Missing,increased acute inflammation,increases,IFNB1,CBM,increased acute inflammation ifnb1,Immune and Inflammatory Response
image_52,https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g002.png,39133434,COVID-19,Missing,Missing,increased acute inflammation,increases,IL2,CBM,increased acute inflammation il2,Immune and Inflammatory Response
image_52,https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g002.png,39133434,COVID-19,Missing,Missing,increased acute inflammation,increases,IL17A,CBM,increased acute inflammation il17a,Immune and Inflammatory Response
image_52,https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g002.png,39133434,COVID-19,Missing,Missing,increased acute inflammation,increases,CXCL8,CBM,increased acute inflammation cxcl8,Immune and Inflammatory Response
image_52,https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g002.png,39133434,COVID-19,Missing,Missing,increased acute inflammation,increases,IFNG,CBM,increased acute inflammation ifng,Immune and Inflammatory Response
image_52,https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g002.png,39133434,COVID-19,Missing,Missing,increased acute inflammation,increases,CXCL10,CBM,increased acute inflammation cxcl10,Immune and Inflammatory Response
image_52,https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g002.png,39133434,COVID-19,Missing,Missing,increased acute inflammation,increases,CXCL9,CBM,increased acute inflammation cxcl9,Immune and Inflammatory Response
image_52,https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g002.png,39133434,COVID-19,Missing,Missing,IFNL1,increases,systemic inflammation,CBM,ifnl1 systemic inflammation,Immune and Inflammatory Response
image_52,https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g002.png,39133434,COVID-19,Missing,Missing,IL6,increases,systemic inflammation,CBM,il6 systemic inflammation,Immune and Inflammatory Response
image_52,https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g002.png,39133434,COVID-19,Missing,Missing,IFNB1,increases,systemic inflammation,CBM,ifnb1 systemic inflammation,Viral Entry and Neuroinvasion
image_52,https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g002.png,39133434,COVID-19,Missing,Missing,IL2,increases,systemic inflammation,CBM,il2 systemic inflammation,Viral Entry and Neuroinvasion
image_52,https://www.mdpi.com/cells/cells-12-00816/article_deploy/html/images/cells-12-00816-g002.png,39133434,COVID-19,Missing,Missing,IL17A,increases,systemic inflammation,CBM,il17a systemic inflammation,Immune and Inflammatory Response
