Image_number;URL;PMID;Pathophysiological Process;Anatomy;Cell;Subject;Object;Source;Predicate
image_60;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs12035-021-02318-9/MediaObjects/12035_2021_2318_Fig3_HTML.png;33715108;cerebrovascular disease;Brain;Missing;macrophage activation;IL4;CBM;INCREASE
image_60;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs12035-021-02318-9/MediaObjects/12035_2021_2318_Fig3_HTML.png;33715108;cerebrovascular disease;Brain;Missing;macrophage activation;TGFB1;CBM;INCREASE
image_60;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs12035-021-02318-9/MediaObjects/12035_2021_2318_Fig3_HTML.png;33715108;cerebrovascular disease;Brain;Missing;macrophage activation;IFNG;CBM;INCREASE
image_60;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs12035-021-02318-9/MediaObjects/12035_2021_2318_Fig3_HTML.png;33715108;cerebrovascular disease;Brain;Missing;macrophage activation;CXCL8;CBM;INCREASE
image_60;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs12035-021-02318-9/MediaObjects/12035_2021_2318_Fig3_HTML.png;33715108;cerebrovascular disease;Brain;Missing;mature astrocyte;IL6;CBM;INCREASE
image_60;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs12035-021-02318-9/MediaObjects/12035_2021_2318_Fig3_HTML.png;33715108;cerebrovascular disease;Brain;Missing;mature astrocyte;TNF;CBM;INCREASE
image_60;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs12035-021-02318-9/MediaObjects/12035_2021_2318_Fig3_HTML.png;33715108;cerebrovascular disease;Brain;Missing;mature astrocyte;IL13;CBM;INCREASE
image_60;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs12035-021-02318-9/MediaObjects/12035_2021_2318_Fig3_HTML.png;33715108;cerebrovascular disease;Brain;Missing;mature astrocyte;IL2;CBM;INCREASE
image_60;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs12035-021-02318-9/MediaObjects/12035_2021_2318_Fig3_HTML.png;33715108;cerebrovascular disease;Brain;Missing;mature astrocyte;IL4;CBM;INCREASE
image_60;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs12035-021-02318-9/MediaObjects/12035_2021_2318_Fig3_HTML.png;33715108;cerebrovascular disease;Brain;Missing;mature astrocyte;TGFB1;CBM;INCREASE
image_60;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs12035-021-02318-9/MediaObjects/12035_2021_2318_Fig3_HTML.png;33715108;cerebrovascular disease;Brain;Missing;mature astrocyte;IFNG;CBM;INCREASE
image_60;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs12035-021-02318-9/MediaObjects/12035_2021_2318_Fig3_HTML.png;33715108;cerebrovascular disease;Brain;Missing;mature astrocyte;CXCL8;CBM;INCREASE
image_60;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs12035-021-02318-9/MediaObjects/12035_2021_2318_Fig3_HTML.png;33715108;COVID-19;Brain;Missing;IL6;cytokine leak;CBM;INCREASE
image_60;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs12035-021-02318-9/MediaObjects/12035_2021_2318_Fig3_HTML.png;33715108;COVID-19;Brain;Missing;TNF;cytokine leak;CBM;INCREASE
image_60;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs12035-021-02318-9/MediaObjects/12035_2021_2318_Fig3_HTML.png;33715108;COVID-19;Brain;Missing;IL13;cytokine leak;CBM;INCREASE
image_60;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs12035-021-02318-9/MediaObjects/12035_2021_2318_Fig3_HTML.png;33715108;COVID-19;Brain;Missing;IL2;cytokine leak;CBM;INCREASE
image_60;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs12035-021-02318-9/MediaObjects/12035_2021_2318_Fig3_HTML.png;33715108;COVID-19;Brain;Missing;IL4;cytokine leak;CBM;INCREASE
image_60;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs12035-021-02318-9/MediaObjects/12035_2021_2318_Fig3_HTML.png;33715108;COVID-19;Brain;Missing;TGFB1;cytokine leak;CBM;INCREASE
image_60;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs12035-021-02318-9/MediaObjects/12035_2021_2318_Fig3_HTML.png;33715108;COVID-19;Brain;Missing;IFNG;cytokine leak;CBM;INCREASE
image_60;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs12035-021-02318-9/MediaObjects/12035_2021_2318_Fig3_HTML.png;33715108;COVID-19;Brain;Missing;CXCL8;cytokine leak;CBM;INCREASE
image_60;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs12035-021-02318-9/MediaObjects/12035_2021_2318_Fig3_HTML.png;33715108;COVID-19;Brain;Missing;IL6;Endothelial Attenuation;CBM;INCREASE
image_60;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs12035-021-02318-9/MediaObjects/12035_2021_2318_Fig3_HTML.png;33715108;COVID-19;Brain;Missing;TNF;Endothelial Attenuation;CBM;INCREASE
image_60;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs12035-021-02318-9/MediaObjects/12035_2021_2318_Fig3_HTML.png;33715108;COVID-19;Brain;Missing;IL13;Endothelial Attenuation;CBM;INCREASE
image_60;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs12035-021-02318-9/MediaObjects/12035_2021_2318_Fig3_HTML.png;33715108;COVID-19;Brain;Missing;IL2;Endothelial Attenuation;CBM;INCREASE
image_60;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs12035-021-02318-9/MediaObjects/12035_2021_2318_Fig3_HTML.png;33715108;COVID-19;Brain;Missing;IL4;Endothelial Attenuation;CBM;INCREASE
image_60;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs12035-021-02318-9/MediaObjects/12035_2021_2318_Fig3_HTML.png;33715108;COVID-19;Brain;Missing;TGFB1;Endothelial Attenuation;CBM;INCREASE
image_60;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs12035-021-02318-9/MediaObjects/12035_2021_2318_Fig3_HTML.png;33715108;COVID-19;Brain;Missing;IFNG;Endothelial Attenuation;CBM;INCREASE
image_60;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs12035-021-02318-9/MediaObjects/12035_2021_2318_Fig3_HTML.png;33715108;COVID-19;Brain;Missing;CXCL8;Endothelial Attenuation;CBM;INCREASE
image_60;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs12035-021-02318-9/MediaObjects/12035_2021_2318_Fig3_HTML.png;33715108;COVID-19;Brain;Missing;cytokine leak;Cytokine storm;CBM;INCREASE
image_60;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs12035-021-02318-9/MediaObjects/12035_2021_2318_Fig3_HTML.png;33715108;COVID-19;Brain;Missing;Endothelial Attenuation;Cytokine storm;CBM;INCREASE
image_60;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs12035-021-02318-9/MediaObjects/12035_2021_2318_Fig3_HTML.png;33715108;COVID-19;Brain;Missing;Cytokine storm;D-dimer;CBM;INCREASE
image_60;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs12035-021-02318-9/MediaObjects/12035_2021_2318_Fig3_HTML.png;33715108;COVID-19;Brain;Missing;Cytokine storm;coagulation;CBM;INCREASE
image_60;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs12035-021-02318-9/MediaObjects/12035_2021_2318_Fig3_HTML.png;33715108;COVID-19;Brain;Missing;D-dimer;cerebrovascular disease;CBM;INCREASE
image_60;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs12035-021-02318-9/MediaObjects/12035_2021_2318_Fig3_HTML.png;33715108;COVID-19;Brain;Missing;coagulation;cerebrovascular disease;CBM;INCREASE
image_60;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs12035-021-02318-9/MediaObjects/12035_2021_2318_Fig3_HTML.png;33715108;Missing;Missing;Missing;COVID-19;cerebrovascular disease;CBM;INCREASE
image_61;https://www.frontiersin.org/files/Articles/568710/fneur-11-01044-HTML/image_m/fneur-11-01044-g001.jpg;33041985;Missing;Blood;Missing;COVID-19;IL1B;CBM;INCREASE
image_61;https://www.frontiersin.org/files/Articles/568710/fneur-11-01044-HTML/image_m/fneur-11-01044-g001.jpg;33041985;Missing;Blood;Missing;COVID-19;IL6;CBM;INCREASE
image_61;https://www.frontiersin.org/files/Articles/568710/fneur-11-01044-HTML/image_m/fneur-11-01044-g001.jpg;33041985;Missing;Blood;Missing;COVID-19;TNF;CBM;INCREASE
image_61;https://www.frontiersin.org/files/Articles/568710/fneur-11-01044-HTML/image_m/fneur-11-01044-g001.jpg;33041985;Missing;Blood;Missing;COVID-19;IFNG;CBM;INCREASE
image_61;https://www.frontiersin.org/files/Articles/568710/fneur-11-01044-HTML/image_m/fneur-11-01044-g001.jpg;33041985;Missing;Blood;Missing;COVID-19;CXCL10;CBM;INCREASE
image_61;https://www.frontiersin.org/files/Articles/568710/fneur-11-01044-HTML/image_m/fneur-11-01044-g001.jpg;33041985;Missing;Blood;Missing;COVID-19;CCL2;CBM;INCREASE
image_61;https://www.frontiersin.org/files/Articles/568710/fneur-11-01044-HTML/image_m/fneur-11-01044-g001.jpg;33041985;Missing;Blood;Missing;IL1B;CD4-Positive T-Lymphocytes;CBM;INCREASE
image_61;https://www.frontiersin.org/files/Articles/568710/fneur-11-01044-HTML/image_m/fneur-11-01044-g001.jpg;33041985;Missing;Blood;Missing;IL6;CD4-Positive T-Lymphocytes;CBM;INCREASE
image_61;https://www.frontiersin.org/files/Articles/568710/fneur-11-01044-HTML/image_m/fneur-11-01044-g001.jpg;33041985;Missing;Blood;Missing;TNF;CD4-Positive T-Lymphocytes;CBM;INCREASE
image_61;https://www.frontiersin.org/files/Articles/568710/fneur-11-01044-HTML/image_m/fneur-11-01044-g001.jpg;33041985;Missing;Blood;Missing;IFNG;CD4-Positive T-Lymphocytes;CBM;INCREASE
image_61;https://www.frontiersin.org/files/Articles/568710/fneur-11-01044-HTML/image_m/fneur-11-01044-g001.jpg;33041985;Missing;Blood;Missing;CXCL10;CD4-Positive T-Lymphocytes;CBM;INCREASE
image_61;https://www.frontiersin.org/files/Articles/568710/fneur-11-01044-HTML/image_m/fneur-11-01044-g001.jpg;33041985;Missing;Blood;Missing;CCL2;CD4-Positive T-Lymphocytes;CBM;INCREASE
image_61;https://www.frontiersin.org/files/Articles/568710/fneur-11-01044-HTML/image_m/fneur-11-01044-g001.jpg;33041985;Missing;Blood;Missing;Microbiota;CD4-Positive T-Lymphocytes;CBM;INCREASE
image_61;https://www.frontiersin.org/files/Articles/568710/fneur-11-01044-HTML/image_m/fneur-11-01044-g001.jpg;33041985;Missing;Missing;Missing;COVID-19;negative regulation of blood-brain barrier permeability;CBM;INCREASE
image_61;https://www.frontiersin.org/files/Articles/568710/fneur-11-01044-HTML/image_m/fneur-11-01044-g001.jpg;33041985;Missing;Missing;Missing;negative regulation of blood-brain barrier permeability;CD4-Positive T-Lymphocytes infiltration into the Central Nervous System;CBM;INCREASE
image_61;https://www.frontiersin.org/files/Articles/568710/fneur-11-01044-HTML/image_m/fneur-11-01044-g001.jpg;33041985;Missing;Missing;Missing;CD4-Positive T-Lymphocytes;negative regulation of blood-brain barrier permeability;CBM;INCREASE
image_61;https://www.frontiersin.org/files/Articles/568710/fneur-11-01044-HTML/image_m/fneur-11-01044-g001.jpg;33041985;Missing;Missing;Missing;CD4-Positive T-Lymphocytes;activated microglia M1;CBM;INCREASE
image_61;https://www.frontiersin.org/files/Articles/568710/fneur-11-01044-HTML/image_m/fneur-11-01044-g001.jpg;33041985;Missing;Missing;Missing;activated microglia M1;negative regulation of blood-brain barrier permeability;CBM;INCREASE
image_61;https://www.frontiersin.org/files/Articles/568710/fneur-11-01044-HTML/image_m/fneur-11-01044-g001.jpg;33041985;Missing;Missing;Missing;activated microglia M1;IL1B;CBM;INCREASE
image_61;https://www.frontiersin.org/files/Articles/568710/fneur-11-01044-HTML/image_m/fneur-11-01044-g001.jpg;33041985;Missing;Missing;Missing;activated microglia M1;IL6;CBM;INCREASE
image_61;https://www.frontiersin.org/files/Articles/568710/fneur-11-01044-HTML/image_m/fneur-11-01044-g001.jpg;33041985;Missing;Missing;Missing;activated microglia M1;TNF;CBM;INCREASE
image_61;https://www.frontiersin.org/files/Articles/568710/fneur-11-01044-HTML/image_m/fneur-11-01044-g001.jpg;33041985;Missing;Missing;Missing;activated microglia M1;reactive oxygen species;CBM;INCREASE
image_61;https://www.frontiersin.org/files/Articles/568710/fneur-11-01044-HTML/image_m/fneur-11-01044-g001.jpg;33041985;Missing;Missing;Missing;activated microglia M1;glutamate(2-);CBM;INCREASE
image_61;https://www.frontiersin.org/files/Articles/568710/fneur-11-01044-HTML/image_m/fneur-11-01044-g001.jpg;33041985;Missing;Missing;Missing;IL1B;neuron apoptotic process;CBM;INCREASE
image_61;https://www.frontiersin.org/files/Articles/568710/fneur-11-01044-HTML/image_m/fneur-11-01044-g001.jpg;33041985;Missing;Missing;Missing;IL6;neuron apoptotic process;CBM;INCREASE
image_61;https://www.frontiersin.org/files/Articles/568710/fneur-11-01044-HTML/image_m/fneur-11-01044-g001.jpg;33041985;Missing;Missing;Missing;TNF;neuron apoptotic process;CBM;INCREASE
image_61;https://www.frontiersin.org/files/Articles/568710/fneur-11-01044-HTML/image_m/fneur-11-01044-g001.jpg;33041985;Missing;Missing;Missing;reactive oxygen species;neuron apoptotic process;CBM;INCREASE
image_61;https://www.frontiersin.org/files/Articles/568710/fneur-11-01044-HTML/image_m/fneur-11-01044-g001.jpg;33041985;Missing;Missing;Missing;glutamate(2-);neuron apoptotic process;CBM;INCREASE
image_61;https://www.frontiersin.org/files/Articles/568710/fneur-11-01044-HTML/image_m/fneur-11-01044-g001.jpg;33041985;Missing;Missing;Missing;neuron apoptotic process;microglial cell activation;CBM;INCREASE
image_61;https://www.frontiersin.org/files/Articles/568710/fneur-11-01044-HTML/image_m/fneur-11-01044-g001.jpg;33041985;Missing;Missing;Missing;microglial cell activation;activated microglia M1;CBM;INCREASE
image_61;https://www.frontiersin.org/files/Articles/568710/fneur-11-01044-HTML/image_m/fneur-11-01044-g001.jpg;33041985;Missing;Missing;Missing;neuron;SNCA;CBM;INCREASE
image_61;https://www.frontiersin.org/files/Articles/568710/fneur-11-01044-HTML/image_m/fneur-11-01044-g001.jpg;33041985;Missing;Missing;Missing;SNCA;activated microglia M1;CBM;INCREASE
image_61;https://www.frontiersin.org/files/Articles/568710/fneur-11-01044-HTML/image_m/fneur-11-01044-g001.jpg;33041985;Missing;Missing;Missing;activated microglia M1;cytokine production involved in inflammatory response;CBM;INCREASE
image_61;https://www.frontiersin.org/files/Articles/568710/fneur-11-01044-HTML/image_m/fneur-11-01044-g001.jpg;33041985;Missing;Missing;Missing;cytokine production involved in inflammatory response;astrocyte activation;CBM;INCREASE
image_61;https://www.frontiersin.org/files/Articles/568710/fneur-11-01044-HTML/image_m/fneur-11-01044-g001.jpg;33041985;Missing;Missing;Missing;mature astrocyte;glutamate(2-);CBM;INCREASE
image_61;https://www.frontiersin.org/files/Articles/568710/fneur-11-01044-HTML/image_m/fneur-11-01044-g001.jpg;33041985;Missing;Missing;Missing;glutamate(2-);neuron apoptotic process;CBM;INCREASE
image_61;https://www.frontiersin.org/files/Articles/568710/fneur-11-01044-HTML/image_m/fneur-11-01044-g001.jpg;33041985;Missing;Missing;Missing;mature astrocyte;IL1B;CBM;INCREASE
image_61;https://www.frontiersin.org/files/Articles/568710/fneur-11-01044-HTML/image_m/fneur-11-01044-g001.jpg;33041985;Missing;Missing;Missing;mature astrocyte;IL6;CBM;INCREASE
image_61;https://www.frontiersin.org/files/Articles/568710/fneur-11-01044-HTML/image_m/fneur-11-01044-g001.jpg;33041985;Missing;Missing;Missing;IL1B;activated microglia M1;CBM;INCREASE
image_61;https://www.frontiersin.org/files/Articles/568710/fneur-11-01044-HTML/image_m/fneur-11-01044-g001.jpg;33041985;Missing;Missing;Missing;IL6;activated microglia M1;CBM;INCREASE
image_61;https://www.frontiersin.org/files/Articles/568710/fneur-11-01044-HTML/image_m/fneur-11-01044-g001.jpg;33041985;Missing;Missing;Missing;Genetics;activated microglia M1;CBM;REGULATE
image_61;https://www.frontiersin.org/files/Articles/568710/fneur-11-01044-HTML/image_m/fneur-11-01044-g001.jpg;33041985;Missing;Missing;Missing;environmental factor;activated microglia M1;CBM;REGULATE
image_61;https://www.frontiersin.org/files/Articles/568710/fneur-11-01044-HTML/image_m/fneur-11-01044-g001.jpg;33041985;Missing;Missing;Missing;Aging;activated microglia M1;CBM;REGULATE
image_61;https://www.frontiersin.org/files/Articles/568710/fneur-11-01044-HTML/image_m/fneur-11-01044-g001.jpg;33041985;Missing;Missing;Missing;disease by infectious agent;activated microglia M1;CBM;REGULATE
image_61;https://www.frontiersin.org/files/Articles/568710/fneur-11-01044-HTML/image_m/fneur-11-01044-g001.jpg;33041985;Missing;Missing;Missing;Genetics;astrocyte activation;CBM;REGULATE
image_61;https://www.frontiersin.org/files/Articles/568710/fneur-11-01044-HTML/image_m/fneur-11-01044-g001.jpg;33041985;Missing;Missing;Missing;environmental factor;astrocyte activation;CBM;REGULATE
image_61;https://www.frontiersin.org/files/Articles/568710/fneur-11-01044-HTML/image_m/fneur-11-01044-g001.jpg;33041985;Missing;Missing;Missing;Aging;astrocyte activation;CBM;REGULATE
image_61;https://www.frontiersin.org/files/Articles/568710/fneur-11-01044-HTML/image_m/fneur-11-01044-g001.jpg;33041985;Missing;Missing;Missing;disease by infectious agent;astrocyte activation;CBM;REGULATE
image_62;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs11302-024-09998-7/MediaObjects/11302_2024_9998_Fig3_HTML.png;38460075;"COVID-19; Parkinson's disease";Missing;Missing;COVID-19;cell lysis;CBM;INCREASE
image_62;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs11302-024-09998-7/MediaObjects/11302_2024_9998_Fig3_HTML.png;38460075;"COVID-19; Parkinson's disease";Missing;Missing;cell lysis;ATP;CBM;INCREASE
image_62;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs11302-024-09998-7/MediaObjects/11302_2024_9998_Fig3_HTML.png;38460075;"COVID-19; Parkinson's disease";Neurons;Missing;ATP binds to P2RX7;IL1B;CBM;INCREASE
image_62;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs11302-024-09998-7/MediaObjects/11302_2024_9998_Fig3_HTML.png;38460075;"COVID-19; Parkinson's disease";Neurons;Missing;IL1B;IL6;CBM;INCREASE
image_62;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs11302-024-09998-7/MediaObjects/11302_2024_9998_Fig3_HTML.png;38460075;"COVID-19; Parkinson's disease";Neurons;Missing;IL6;NLRP3 inflammasome complex assembly;CBM;INCREASE
image_62;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs11302-024-09998-7/MediaObjects/11302_2024_9998_Fig3_HTML.png;38460075;"COVID-19; Parkinson's disease";Neurons;Missing;NLRP3 inflammasome complex assembly;cell death;CBM;INCREASE
image_62;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs11302-024-09998-7/MediaObjects/11302_2024_9998_Fig3_HTML.png;38460075;"COVID-19; Parkinson's disease";Neurons;Missing;ATP binds to P2RX7;mitochondrion;CBM;REGULATE
image_62;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs11302-024-09998-7/MediaObjects/11302_2024_9998_Fig3_HTML.png;38460075;"COVID-19; Parkinson's disease";Neurons;Missing;mitochondrion;SNCA;CBM;INCREASE
image_62;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs11302-024-09998-7/MediaObjects/11302_2024_9998_Fig3_HTML.png;38460075;"COVID-19; Parkinson's disease";Neurons;Missing;SNCA;AMPK phosphorylation;CBM;DECREASE
image_62;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs11302-024-09998-7/MediaObjects/11302_2024_9998_Fig3_HTML.png;38460075;"COVID-19; Parkinson's disease";Neurons;Missing;AMPK phosphorylation;lysosome;CBM;REGULATE
image_62;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs11302-024-09998-7/MediaObjects/11302_2024_9998_Fig3_HTML.png;38460075;"COVID-19; Parkinson's disease";Neurons;Missing;lysosome;reactive oxygen species;CBM;INCREASE
image_62;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs11302-024-09998-7/MediaObjects/11302_2024_9998_Fig3_HTML.png;38460075;"COVID-19; Parkinson's disease";Neurons;Missing;lysosome;Cytokine storm;CBM;INCREASE
image_62;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs11302-024-09998-7/MediaObjects/11302_2024_9998_Fig3_HTML.png;38460075;"COVID-19; Parkinson's disease";Neurons;Missing;lysosome;cell death;CBM;INCREASE
image_62;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs11302-024-09998-7/MediaObjects/11302_2024_9998_Fig3_HTML.png;38460075;"COVID-19; Parkinson's disease";Neurons;Missing;Severe acute respiratory syndrome coronavirus 2 binds to ACE2;Neuroinflammatory Diseases;CBM;INCREASE
image_62;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs11302-024-09998-7/MediaObjects/11302_2024_9998_Fig3_HTML.png;38460075;"COVID-19; Parkinson's disease";Neurons;Missing;Neuroinflammatory Diseases;Cytokine storm;CBM;INCREASE
image_62;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs11302-024-09998-7/MediaObjects/11302_2024_9998_Fig3_HTML.png;38460075;"COVID-19; Parkinson's disease";Missing;Missing;pericyte;reactive oxygen species release into the neuron;CBM;INCREASE
image_63;https://www.frontiersin.org/files/Articles/553331/fneur-11-00498-HTML/image_m/fneur-11-00498-g001.jpg;32574246;Missing;Tongue;Missing;COVID-19;Dysgeusia;CBM;INCREASE
image_63;https://www.frontiersin.org/files/Articles/553331/fneur-11-00498-HTML/image_m/fneur-11-00498-g001.jpg;32574246;Missing;Olfactory Bulb;Missing;COVID-19;Hyposmia;CBM;INCREASE
image_63;https://www.frontiersin.org/files/Articles/553331/fneur-11-00498-HTML/image_m/fneur-11-00498-g001.jpg;32574246;Missing;Meninges;Missing;COVID-19;Headache;CBM;INCREASE
image_63;https://www.frontiersin.org/files/Articles/553331/fneur-11-00498-HTML/image_m/fneur-11-00498-g001.jpg;32574246;Missing;Brain;Missing;COVID-19;Seizures;CBM;INCREASE
image_63;https://www.frontiersin.org/files/Articles/553331/fneur-11-00498-HTML/image_m/fneur-11-00498-g001.jpg;32574246;Missing;Brain;Missing;COVID-19;encephalitis;CBM;INCREASE
image_63;https://www.frontiersin.org/files/Articles/553331/fneur-11-00498-HTML/image_m/fneur-11-00498-g001.jpg;32574246;Missing;Brain;Missing;COVID-19;brain disease;CBM;INCREASE
image_63;https://www.frontiersin.org/files/Articles/553331/fneur-11-00498-HTML/image_m/fneur-11-00498-g001.jpg;32574246;Missing;Brain;Missing;COVID-19;Dizziness;CBM;INCREASE
image_63;https://www.frontiersin.org/files/Articles/553331/fneur-11-00498-HTML/image_m/fneur-11-00498-g001.jpg;32574246;Missing;Respiratory System;Missing;COVID-19;Cytokines;CBM;INCREASE
image_63;https://www.frontiersin.org/files/Articles/553331/fneur-11-00498-HTML/image_m/fneur-11-00498-g001.jpg;32574246;Missing;Respiratory System;Missing;COVID-19;IL6;CBM;INCREASE
image_63;https://www.frontiersin.org/files/Articles/553331/fneur-11-00498-HTML/image_m/fneur-11-00498-g001.jpg;32574246;Missing;Respiratory System;Missing;COVID-19;TNF;CBM;INCREASE
image_63;https://www.frontiersin.org/files/Articles/553331/fneur-11-00498-HTML/image_m/fneur-11-00498-g001.jpg;32574246;Missing;Missing;Missing;COVID-19;Fever;CBM;INCREASE
image_63;https://www.frontiersin.org/files/Articles/553331/fneur-11-00498-HTML/image_m/fneur-11-00498-g001.jpg;32574246;Missing;Missing;Missing;COVID-19;altered mental status;CBM;INCREASE
image_64;https://www.wsws.org/asset/6c871bf7-6b96-46ea-a291-0eda9cdce206?rendition=image1280;35198136;Acute COVID-19;Brain;Missing;SARS-CoV-2 S binding to ACE2;Neuronal infection;CBM;INCREASE
image_64;https://www.wsws.org/asset/6c871bf7-6b96-46ea-a291-0eda9cdce206?rendition=image1280;35198136;Acute COVID-19;Brain;Missing;Severe acute respiratory syndrome coronavirus;negative regulation of blood-brain barrier permeability;CBM;INCREASE
image_64;https://www.wsws.org/asset/6c871bf7-6b96-46ea-a291-0eda9cdce206?rendition=image1280;35198136;Acute COVID-19;Brain;Missing;negative regulation of blood-brain barrier permeability;Cytokines entry to the Brain;CBM;INCREASE
image_64;https://www.wsws.org/asset/6c871bf7-6b96-46ea-a291-0eda9cdce206?rendition=image1280;35198136;Acute COVID-19;Brain;Missing;Cytokines;microglial cell activation;CBM;INCREASE
image_64;https://www.wsws.org/asset/6c871bf7-6b96-46ea-a291-0eda9cdce206?rendition=image1280;35198136;Acute COVID-19;Brain;Missing;mature microglial cell;Demyelinating Diseases;CBM;INCREASE
image_64;https://www.wsws.org/asset/6c871bf7-6b96-46ea-a291-0eda9cdce206?rendition=image1280;35198136;long COVID;Missing;Missing;Severe acute respiratory syndrome coronavirus;leukocyte;CBM;INFECT
image_64;https://www.wsws.org/asset/6c871bf7-6b96-46ea-a291-0eda9cdce206?rendition=image1280;35198136;long COVID;Missing;Missing;Severe acute respiratory syndrome coronavirus;Cytokines;CBM;INCREASE
image_64;https://www.wsws.org/asset/6c871bf7-6b96-46ea-a291-0eda9cdce206?rendition=image1280;35198136;long COVID;Missing;Missing;Cytokines;platelet activation;CBM;INCREASE
image_64;https://www.wsws.org/asset/6c871bf7-6b96-46ea-a291-0eda9cdce206?rendition=image1280;35198136;long COVID;Missing;Missing;Cytokines;platelet aggregation;CBM;INCREASE
image_64;https://www.wsws.org/asset/6c871bf7-6b96-46ea-a291-0eda9cdce206?rendition=image1280;35198136;Missing;Missing;Missing;Severe acute respiratory syndrome coronavirus;Neuroinflammatory Diseases;CBM;INCREASE
image_64;https://www.wsws.org/asset/6c871bf7-6b96-46ea-a291-0eda9cdce206?rendition=image1280;35198136;Missing;Missing;Missing;Severe acute respiratory syndrome coronavirus;Nerve Degeneration;CBM;INCREASE
image_65;https://lh4.googleusercontent.com/proxy/Xnzivs7F64LAqzFw7a-f4Y3GwYAxhmbOTDBoVAev6XQsd6YYEGJYjMf2ZYOmBvPAIVJUdlVMgmTrQyvZVMZmL0kc-zlpK5wPFOwckH-q7WoJvPFq6qIlVOe5Ko48mTh6Ay5Jw_KbK_v9IzzX7D9yILLxcR425_yN;Not_found;Direct effects of COVID-19;Brain;Missing;COVID-19;cerebrovascular disease;CBM;INCREASE
image_65;https://lh4.googleusercontent.com/proxy/Xnzivs7F64LAqzFw7a-f4Y3GwYAxhmbOTDBoVAev6XQsd6YYEGJYjMf2ZYOmBvPAIVJUdlVMgmTrQyvZVMZmL0kc-zlpK5wPFOwckH-q7WoJvPFq6qIlVOe5Ko48mTh6Ay5Jw_KbK_v9IzzX7D9yILLxcR425_yN;Not_found;Direct effects of COVID-19;Brain;Missing;COVID-19;Neuroinflammatory Diseases;CBM;INCREASE
